Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,FamilySize
0,3,-0.5657364610748749,1,0,-0.5024451714361923,True,False,True,1
1,1,0.6638610320657841,1,0,0.7868452935884461,False,False,False,1
1,3,-0.2583370877897101,0,0,-0.4888542575852486,False,False,True,0
1,1,0.4333115021019105,1,0,0.4207302360686478,False,False,True,1
0,3,0.4333115021019105,0,0,-0.4863374216869257,True,False,True,0
0,3,-0.10463740114712775,0,0,-0.47811642890864375,True,True,False,0
0,1,1.8934585252064429,0,0,0.395813560675251,True,False,True,0
0,3,-2.1027333275006987,3,1,-0.22408312108167944,True,False,True,4
1,3,-0.18148724446841893,0,2,-0.4242561406845337,False,False,True,2
1,2,-1.1805352076452043,1,0,-0.04295550208861427,False,False,False,1
1,3,-1.9490336408581161,1,1,-0.312172377522981,False,False,True,2
1,1,2.2008578984916074,0,0,-0.11384570873513637,False,False,True,0
0,3,-0.7194361477174572,0,0,-0.4863374216869257,True,False,True,0
0,3,0.7407108753870753,1,5,-0.018709311778530763,True,False,True,6
0,3,-1.1805352076452043,0,0,-0.4902797934380587,False,False,True,0
1,2,1.970308368527734,0,0,-0.3262666585535892,False,False,True,0
0,3,-2.1027333275006987,4,1,-0.061998889229684634,True,True,False,5
1,2,-0.10463740114712775,0,0,-0.3866707201133388,True,False,True,0
0,3,0.1259121288167458,1,0,-0.2859972841804228,False,False,True,1
1,3,-0.10463740114712775,0,0,-0.5029485386158568,False,False,False,0
0,2,0.4333115021019105,0,0,-0.12491978668775715,True,False,True,0
1,2,0.3564616587806193,0,0,-0.3866707201133388,True,False,True,0
1,3,-1.103685364323913,0,0,-0.4867562231804066,False,True,False,0
1,1,-0.10463740114712775,0,0,0.06635974158478332,True,False,True,0
0,3,-1.6416342675729514,3,1,-0.22408312108167944,False,False,True,4
1,3,0.6638610320657841,1,5,-0.01644415947004014,False,False,True,6
0,3,-0.10463740114712775,0,0,-0.5029485386158568,True,False,False,0
0,1,-0.7962859910387483,3,2,4.647001076532463,True,False,True,5
1,3,-0.10463740114712775,0,0,-0.48977642625839407,False,True,False,0
0,3,-0.10463740114712775,0,0,-0.4894421904510968,True,False,True,0
0,1,0.8175607187083664,0,0,-0.09027201697708476,True,False,False,0
1,1,-0.10463740114712775,1,0,2.301728820789,False,False,False,1
1,3,-0.10463740114712775,0,0,-0.49237782784290063,False,True,False,0
0,2,2.815656645061937,0,0,-0.43700743807979686,True,False,True,0
0,1,-0.10463740114712775,1,0,1.0060617003323709,True,False,False,1
0,1,0.9712604053509487,1,0,0.39858208016340624,True,False,True,1
1,3,-0.10463740114712775,0,0,-0.5028639729296732,True,False,False,0
0,3,-0.642586304396166,0,0,-0.4863374216869257,True,False,True,0
0,3,-0.8731358343600395,2,0,-0.2859972841804228,False,False,True,2
1,3,-1.1805352076452043,1,0,-0.42207354059350805,False,False,False,1
0,3,0.8175607187083664,1,0,-0.4576454924460446,False,False,True,1
0,2,-0.18148724446841893,1,0,-0.22559322262067316,False,False,True,1
0,3,-0.10463740114712775,0,0,-0.4894421904510968,True,False,False,0
1,2,-2.0258834841794076,1,2,0.18876253192945994,False,False,False,3
1,3,-0.7962859910387483,0,0,-0.48977642625839407,False,True,False,0
0,3,-0.10463740114712775,0,0,-0.4863374216869257,True,False,True,0
0,3,-0.10463740114712775,1,0,-0.3363340021468808,True,True,False,1
1,3,-0.10463740114712775,0,0,-0.49237782784290063,False,True,False,0
0,3,-0.10463740114712775,2,0,-0.21191774308354583,True,False,False,2
0,3,-0.8731358343600395,1,0,-0.29002422161773944,False,False,True,1
0,3,-1.7184841108942426,4,1,0.1506737441786005,True,False,True,5
0,3,-0.642586304396166,0,0,-0.4913710934835715,True,False,True,0
1,1,1.509209308599987,1,0,0.8964967865378598,False,False,False,1
1,2,-0.027787557825836577,1,0,-0.12491978668775715,False,False,True,1
0,1,2.7388068017406457,0,1,0.5995101505357573,True,False,False,1
1,1,-0.10463740114712775,0,0,0.06635974158478332,True,False,True,0
1,2,-0.642586304396166,0,0,-0.43700743807979686,False,False,True,0
0,3,-0.06621247948648216,0,0,-0.5028639729296732,True,False,False,0
1,2,-1.872183797536825,1,2,-0.08968408411123653,False,False,True,3
0,3,-1.4110847376090778,5,2,0.2958951755118318,True,False,True,7
0,3,-0.5657364610748749,0,0,-0.5028639729296732,True,False,False,0
1,1,0.6638610320657841,0,0,0.962353321387736,False,False,True,0
0,1,1.2018099353148224,1,0,1.0323213593611125,True,False,True,1
0,3,-1.9490336408581161,3,2,-0.08666388103324908,True,False,True,5
0,1,-0.10463740114712775,0,0,-0.09027201697708476,True,False,False,0
1,3,-0.10463740114712775,1,1,-0.3414522396297103,True,False,False,2
1,2,-0.027787557825836577,0,0,-0.43700743807979686,False,False,True,0
0,3,-0.7962859910387483,0,0,-0.4841568350646187,True,False,True,0
1,3,-0.9499856776813307,4,2,-0.4888542575852486,False,False,True,6
0,3,-0.2583370877897101,2,0,-0.47400492578514347,True,False,True,2
0,2,0.20276197213803696,0,0,-0.43700743807979686,True,False,True,0
0,3,-1.0268355210026219,5,2,0.2958951755118318,False,False,True,7
0,2,-0.642586304396166,0,0,0.8314778546749452,True,False,True,0
0,3,-0.2583370877897101,1,0,-0.3573908580066095,True,False,False,1
1,3,0.20276197213803696,0,0,0.48910360681684706,True,False,True,0
0,3,-0.3351869311110013,0,0,-0.494391296561559,True,False,True,0
0,3,-0.10463740114712775,0,0,-0.4894421904510968,True,False,True,0
0,3,-0.10463740114712775,0,0,-0.4863374216869257,True,False,True,0
1,2,-2.1926476441866094,0,2,-0.06451572512800753,True,False,True,2
1,3,0.0490622854954546,0,0,-0.397241430886295,False,False,True,0
0,3,-0.5657364610748749,0,0,-0.46720946885967163,True,False,True,0
1,3,-0.027787557825836577,0,0,-0.45714212526638004,True,False,True,0
1,3,-0.10463740114712775,0,0,-0.49162277707340374,False,True,False,0
0,1,-0.10463740114712775,0,0,0.29992211294914856,True,False,True,0
1,2,-0.9499856776813307,0,0,-0.43700743807979686,False,False,True,0
1,3,0.2796118154593281,3,0,-0.32928686163157667,False,False,True,3
0,3,-1.0268355210026219,1,3,0.0437082184998772,True,False,True,4
0,3,-0.10463740114712775,0,0,-0.4863374216869257,True,False,True,0
1,1,-0.48888661775358366,3,2,4.647001076532463,False,False,True,5
0,3,-0.4120367744322925,0,0,-0.4863374216869257,True,False,True,0
0,3,-0.027787557825836577,0,0,-0.4863374216869257,True,False,True,0
0,3,-0.7194361477174572,0,0,-0.4902797934380587,True,False,True,0
0,1,1.2786597786361136,1,0,0.5833178351003071,True,False,True,1
0,3,-0.2583370877897101,1,2,-0.23415046467497105,True,False,True,3
0,3,2.2777077418128986,0,0,-0.5024451714361923,True,False,True,0
0,3,-0.10463740114712775,0,0,-0.4863374216869257,True,False,True,0
0,1,3.199905861668393,0,0,0.04932982316237129,True,False,False,0
1,1,-0.48888661775358366,0,1,0.6272778976347743,True,False,False,1
1,2,0.3564616587806193,0,1,-0.18532384824750675,False,False,True,1
0,2,0.3564616587806193,1,0,-0.12491978668775715,True,False,True,1
0,3,-0.10463740114712775,0,0,-0.4894421904510968,False,False,True,0
0,3,-0.10463740114712775,0,0,-0.4894421904510968,True,False,True,0
0,1,-0.642586304396166,0,1,0.907737982394129,True,False,True,1
0,3,0.2796118154593281,0,0,-0.4741720436887921,True,False,True,0
0,3,0.5870111887444929,2,0,-0.4888542575852486,True,False,True,2
0,3,-0.10463740114712775,0,0,-0.4894421904510968,True,False,True,0
1,3,-0.642586304396166,0,0,-0.494391296561559,False,False,True,0
1,3,-0.10463740114712775,0,0,-0.4918744606632361,True,False,True,0
0,3,0.6638610320657841,0,0,-0.4894421904510968,True,False,True,0
1,3,-0.10463740114712775,1,0,-0.1621689579829361,False,True,False,1
0,1,1.3555096219574045,0,0,0.39858208016340624,True,False,True,0
0,3,-1.1421102859845587,1,0,-0.3573908580066095,False,False,False,1
0,3,-0.5657364610748749,0,0,-0.4863374216869257,True,False,True,0
0,3,-0.7194361477174572,1,0,-0.4505983519307405,False,False,True,1
0,3,-0.9499856776813307,0,0,-0.3573083057891445,False,False,False,0
0,3,-0.642586304396166,0,0,-0.4888542575852486,True,False,True,0
0,3,3.1614809400077473,0,0,-0.49237782784290063,True,True,False,0
0,2,-0.027787557825836577,1,0,-0.22559322262067316,True,False,True,1
0,1,-0.4120367744322925,0,1,4.335332226633905,True,False,False,1
0,3,-2.1027333275006987,4,2,-0.018709311778530763,False,False,True,6
0,2,-0.642586304396166,2,0,0.8314778546749452,True,False,True,2
0,3,-0.10463740114712775,0,0,-0.4863374216869257,True,False,True,0
0,2,0.24118689379868255,1,0,-0.04295550208861427,True,False,False,1
1,2,0.24118689379868255,0,0,-0.3866707201133388,False,False,True,0
0,1,1.8934585252064429,0,1,0.907737982394129,True,False,True,1
1,3,-1.3342348942877866,1,0,-0.42207354059350805,True,False,False,1
0,3,-0.10463740114712775,0,0,-0.49237782784290063,True,True,False,0
1,3,-0.4120367744322925,0,0,-0.5046257580584992,True,False,True,0
1,3,-0.10463740114712775,1,1,-0.19824427701513722,False,False,False,2
0,3,1.2018099353148224,0,0,-0.5079822104125026,True,False,True,0
0,3,0.2796118154593281,0,0,-0.4894421904510968,True,False,False,0
0,3,-0.7194361477174572,0,0,-0.5064721088735089,True,False,True,0
0,3,1.3555096219574045,1,0,-0.35646868933346404,False,False,True,1
1,2,-0.027787557825836577,1,0,-0.12491978668775715,False,False,True,1
0,2,-0.3351869311110013,0,0,-0.3866707201133388,True,False,True,0
0,2,-0.48888661775358366,0,0,-0.3454791770670269,True,False,False,0
1,1,-0.7962859910387483,0,2,-0.11921562980779811,False,False,True,2
0,1,0.5870111887444929,1,0,0.4207302360686478,True,False,True,1
0,3,-1.0268355210026219,0,0,-0.4628462821463391,True,False,True,0
0,1,-0.4120367744322925,0,0,0.9462455716384695,True,False,False,0
0,3,-0.10463740114712775,0,2,-0.3414522396297103,False,False,False,2
1,3,-0.5657364610748749,0,0,-0.49237782784290063,False,False,True,0
1,3,-0.4120367744322925,1,0,-0.32928686163157667,False,False,True,1
0,3,-0.7962859910387483,0,0,-0.5125125150294839,True,True,False,0
0,2,-0.8731358343600395,0,0,-0.41687275089321363,True,False,True,0
0,2,-0.7962859910387483,1,1,0.09152810056801232,True,False,True,2
1,3,-0.18148724446841893,0,0,-0.49145565916975514,True,False,True,0
0,3,-1.5647844242516602,2,2,0.0437082184998772,False,False,True,4
0,2,0.5485862670838473,0,2,-0.12491978668775715,True,False,True,2
0,2,0.9712604053509487,0,0,-0.3866707201133388,True,False,True,0
0,2,1.6629089952425693,0,0,-0.39623469652696586,True,False,True,0
1,1,-0.5657364610748749,1,0,0.6925485130875209,False,False,True,1
0,3,2.0087332901883794,0,0,-0.4863374216869257,True,False,True,0
0,3,0.855985640369012,0,2,-0.35646868933346404,True,False,True,2
0,3,-0.10463740114712775,0,0,-0.5011867534870308,True,False,True,0
0,1,1.6629089952425693,0,1,0.5874293382238074,True,False,False,1
